"Search Parameters"	"Year"	"Mo"	"Dy"	"Country"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"
"[""1900 <= Year >= 2020""]"																	
	1909	12	9	"SOLOMON ISLANDS"	170	"SOLOMON ISLANDS"	-10	165		7.7							
	1909	12	9	"USA TERRITORY"	170	"GUAM"	12.5	145	100	8	8						2
	1910	1	1	"HONDURAS"	90	"HONDURAS"	17	-85	60	7.5							
	1910	1	8	"CHINA"	30	"CHINA:  YELLOW SEA"	35	122		6.8							2
	1910	2	12	"JAPAN"	30	"JAPAN:  HONSHU:  S. OF"	33	138.5	350	7.4							
	1910	2	25	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA:  MATUPI HARBOR"	-4.25	152.25		6							
	1910	4	12	"TAIWAN"	30	"TAIWAN"	25.5	122.5	200	7.8		60	2				1
	1910	4	13	"COSTA RICA"	100	"COSTA RICA:  CARTAGO"	9.8	-84				1750	4				2
	1910	5	4	"COSTA RICA"	100	"COSTA RICA:  CARTAGO, SAN JOSE"	10	-84				700	3				3
	1910	5	22	"JAPAN"	30	"JAPAN:  HOKKAIDO"	42	145	60	7.5							
	1910	6	1	"VANUATU"	170	"VANUATU ISLANDS"	-20	169	80	7.5							
	1910	6	7	"ITALY"	130	"ITALY:  CALITRI"	40.9	15.4	33	5.9	10						
	1910	6	16	"VANUATU"	170	"VANUATU ISLANDS"	-19	169.5	100	7.9							
	1910	6	24	"ALGERIA"	15	"ALGERIA:  MASQUERAY,  KABYLIA"	36	4	33	6.4	11	12	1				1
	1910	6	25	"TURKEY"	140	"TURKEY:  HACIHAMZA,OSMANCIK,ISKILIP"	40.9	34.6		6.1	7						3
	1910	9	24	"MEXICO"	150	"MEXICO:  OAXACA"	16.8	-95.9		6.9	9						2
